# Movies are listed in reverse cronological order by release date.
#id,title,year,genres
202201,The Batman,2022,Action|Crime|Drama
202202,Avatar: The Way of Water,2022,Action|Adventure|Fantasy
202203,Glass Onion: A Knoves Out Mystery,2022,Comedy|Crime|Drama
202204,Asteroid City,2022,Comedy|Romance
202205,The Wild Bunch,2022,Action
202206,Elvis,2022,Biography|Drama|Music
202207,Babylon,2022,Comedy|Drama|History
202208,Django/Zorro,2022,Adventure|Drama|Western
202209,Top Gun: Maverick,2022,Action|Drama
202210,Turning Red,2022,Animation|Adventure|Children|Comedy
202211,Bullet Train,2022,Action|Comedy|Thriller
202212,The Northman,2022,Action|Adventure|Drama
202213,Everything Everywhere All at Once,2022,Action|Adventure|Comedy
202214,The Ice Age Adventures of Buck Wild,2022,Animation|Adventure|Comedy|Dhildren
202101,Belle,2021,Animation|Adventure|Drama
202102,Dune,2021,Action|Adventure|Drama
202103,Drive My Car,2021,Drama
202104,The French Dispatch,2021,Comedy|Drama|Romance
202105,The Dog,2021,Biography|Drama|History
202106,No Time to Die,2021,Action|Adventure|Thriller
202107,The Power of the Dog,2021,Drama|Romance|Western
202108,West Side Story,2021,Crime|Drama|Musical
202109,The Last Duel,2021,Action|Drama|History
202110,Last Night in Soho,2021,Drama|Horror|Mystery
202111,Raya and the Last Dragon,2021,Animation|Action|Adventure|Children
202112,The Mitchells vs the Machine,2021,Animation|Adventure|Children|Comedy
202113,Wish Dragon,2021,Animation|Adventure|Children|Comedy
202114,Luca,2021,Animation|Adventure|Children|Comedy
202115,Cinderella,2021,Children|Comedy|Fantasy
202116,Encanto,2021,Animation|Children|Comedy
202000,A Tenant,2020,Action|Sci-Fi
202001,Mulan,2020,Action|Adventure|Children
202002,Weathering With You,2020,Animation|Drama|Children
202003,Little Fish,2020,Drama|Romance|Sci-fi
202004,Spider Man: No Way Home,2020,Action|Adventure|Fantasy
122904,Deadpool,2016,Action|Adventure|Comedy|Sci-Fi
136864,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Fantasy|Sci-Fi
163645,Hacksaw Ridge,2016,Drama|War
164179,Arrival,2016,Sci-Fi
164909,La La Land,2016,Comedy|Drama|Romance
166918,The Great Wall,2016,Action|Adventure|Thriller
117529,Jurassic World,2015,Action|Adventure|Drama|Sci-Fi|Thriller
125916,Fifty Shades of Grey,2015,Drama|Romance
134130,The Martian,2015,Adventure|Drama|Sci-Fi
136020,Spectre,2015,Action|Adventure|Crime
136562,Steve Jobs,2015,Drama
139644,Sicario,2015,Crime|Drama|Mystery
141846,Steve Jobs: The Man in the Machine,2015,Documentary
142488,Spotlight,2015,Thriller
142492,Son of Saul,2015,Drama
143385,Bridge of Spies,2015,Drama|Thriller
175615,Almost Holy,2015,Documentary
109687,Particle Fever,2013,Documentary
116979,The Legend of Sarila,2013,Adventure|Animation|Children
1907,Mulan,1998,Animation|Action|Children
748,The Arrival,1996,Action|Sci-Fi|Thriller
1022,Cinderella,1950,Animation|Children|Musical
